               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.030006,            0.046335,          0.00074061,             0.99309,             0.98648,              0.9937,             0.90369,            0.013906,            0.023967,          0.00015314,            0.000958,            0.000958,            0.000958
                 139,            0.029964,             0.04862,          0.00073918,             0.99323,             0.98331,             0.99395,             0.89839,            0.013864,            0.024736,           8.908e-05,            0.000892,            0.000892,            0.000892
                 140,            0.030878,            0.048667,          0.00074543,             0.98241,             0.98611,             0.99362,             0.90366,            0.013786,            0.024972,          9.8255e-05,            0.000826,            0.000826,            0.000826
                 141,            0.029474,             0.04753,          0.00065568,             0.98993,             0.98506,             0.99371,             0.90482,            0.013723,            0.024409,          0.00012989,             0.00076,             0.00076,             0.00076
                 142,            0.029723,            0.046144,            0.000573,             0.98657,             0.98402,             0.99337,             0.90546,            0.013749,            0.024677,          0.00016837,            0.000694,            0.000694,            0.000694
                 143,            0.030056,            0.047071,          0.00077798,             0.98298,              0.9826,              0.9918,             0.89929,            0.013689,              0.0249,          0.00020353,            0.000628,            0.000628,            0.000628
                 144,            0.029885,            0.048154,          0.00057249,             0.98487,             0.98391,             0.99247,             0.90426,            0.013638,            0.024332,          0.00021043,            0.000562,            0.000562,            0.000562
                 145,            0.029833,            0.047934,          0.00065294,             0.98382,             0.97951,             0.99229,             0.90224,            0.013797,            0.025334,          0.00018325,            0.000496,            0.000496,            0.000496
                 146,            0.029342,            0.049363,          0.00069946,             0.98391,             0.98428,              0.9926,             0.90714,            0.013485,            0.023803,          0.00017694,             0.00043,             0.00043,             0.00043
                 147,            0.030155,            0.048109,           0.0006827,             0.98453,             0.98312,             0.99255,             0.90532,            0.013565,            0.024394,          0.00015312,            0.000364,            0.000364,            0.000364
                 148,             0.02934,            0.047932,          0.00076227,             0.98439,             0.98223,             0.99259,             0.90917,            0.013597,            0.024467,          0.00015206,            0.000298,            0.000298,            0.000298
                 149,             0.02969,            0.046573,          0.00062207,             0.98238,              0.9846,             0.99265,             0.91408,            0.013563,            0.024234,          0.00014998,            0.000232,            0.000232,            0.000232
